,acc_name,clean_name
654,Peptostreptococcaceae_bacterium_oral,peptostreptococcaceae_bacterium_oral
655,Acetatifactor_muris_isolate,acetatifactor_muris_isolate
656,Paraclostridium_bifermentans_ATCC,paraclostridium_bifermentans_atcc
657,Tepidibacter_formicigenes_DSM,tepidibacter_formicigenes_dsm
658,Eubacterium_plexicaudatum_ASF492,eubacterium_plexicaudatum_asf492
659,Thermoanaerobacterium_thermosaccharolyticum_DSM,thermoanaerobacterium_thermosaccharolyticum_dsm
660,Clostridiales_bacterium_NK3B98,clostridiales_bacterium_nk3b98
661,"Fusibacter_sp_3D3,",fusibacter_sp_3d3
662,Brevibacillus_sp_BC25,brevibacillus_sp_bc25
663,Clostridium_thermopalmarium_DSM,clostridium_thermopalmarium_dsm
664,Butyrivibrio_sp_FCS014,butyrivibrio_sp_fcs014
665,Caldicellulosiruptor_morganii,caldicellulosiruptor_morganii
666,Kallipyga_gabonensis,kallipyga_gabonensis
667,Paenibacillus_barengoltzii_G22,paenibacillus_barengoltzii_g22
668,Christensenella_sp_AF73-05CM02,christensenella_sp_af73-05cm02
669,Veillonella_denticariosi_JCM,veillonella_denticariosi_jcm
670,Anaerovibrio_lipolyticus_DSM,anaerovibrio_lipolyticus_dsm
671,Desulfotomaculum_ferrireducens,desulfotomaculum_ferrireducens
672,Phascolarctobacterium_succinatutens_YIT,phascolarctobacterium_succinatutens_yit
673,Paenibacillus_pinihumi_DSM,paenibacillus_pinihumi_dsm
674,"Clostridiales_bacterium_VE202-03,",clostridiales_bacterium_ve202-03
675,Saccharibacillus_kuerlensis_DSM,saccharibacillus_kuerlensis_dsm
676,Acutalibacter_muris,acutalibacter_muris
677,"dakarense_1,",dakarense_1
678,"aminophilum_KH1P1,",aminophilum_kh1p1
679,Anaerosporomusa_subterranea,anaerosporomusa_subterranea
680,Peptoniphilus_duerdenii_ATCC,peptoniphilus_duerdenii_atcc
681,Clostridiales_bacterium_1_7_47FAA,clostridiales_bacterium_1_7_47faa
682,Clostridium_botulinum_B,clostridium_botulinum_b
683,Cohnella_laeviribosi_DSM,cohnella_laeviribosi_dsm
684,Clostridium_ljungdahlii,clostridium_ljungdahlii
685,Helcococcus_massiliensis,helcococcus_massiliensis
686,Lachnoclostridium_sp_An14,lachnoclostridium_sp_an14
