,SUID,shared name,name,selected,EdgeCount,Indegree,Outdegree,activity,canonicalName,geneName,locus_tag.d6,sporulation,operon,Goe3_log2_fold_change,pDR110_log2_fold_change,sigF_log2_fold_change,sigG_log2_fold_change,SP10_log2_fold_change,ELDg168_log2_fold_change,ELDg169_log2_fold_change,infomap,betweenness,pagerank,novelProportion,priorProportion,0_GLay_cluster,node.shape,node.label
943,36021,BSU37730,BSU37730,False,2,2,0,target,BSU37730,bacB,A8O17_RS18520,0,bacA→bacF,0.0,0.0,-4.81930440225707,-3.127911101,0.0,-1.25753504849222,-3.87864129483085,2,0.0,0.0003314774325575686,,,,,
944,36020,BSU28530,BSU28530,False,2,2,0,target,BSU28530,etfB,A8O17_RS13625,0,fadR→etfA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.00034111383833536525,,,,,
945,36019,BSU05970,BSU05970,False,13,0,13,regulator,BSU05970,rex,A8O17_RS03220,0,ydiG→tatCY,0.0,0.0,0.954190347252356,0.0,0.0,0.0,0.0,3,0.0,0.00032034260568959016,0.153846153846154,0.846153846153846,,,
946,36018,BSU30850,BSU30850,False,2,2,0,target,BSU30850,ytdA,A8O17_RS14805,1,ytdA,0.0,0.0,3.6316195329519,3.369477097,0.0,0.0,2.42719707386213,1,0.0,0.0003610986146662891,,,,,
947,36017,BSU09430,BSU09430,False,4,0,4,regulator,BSU09430,citR,A8O17_RS05065,0,citR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.0,0.00032034260568959016,0.75,0.25,,,
948,36016,BSU36780,BSU36780,False,1,1,0,target,BSU36780,ywzB,A8O17_RS18025,0,ywzB→murAA,0.0,0.0,-2.16157286217396,0.0,0.0,0.0,-2.02021258833012,5,0.0,0.00033406004777273836,,,,,
949,36015,BSU19650,BSU19650,False,1,1,0,target,BSU19650,yodM,A8O17_RS10230,0,None,0.0,0.0,2.16568546534232,2.4846324,0.0,0.0,0.896786084341081,6,0.0,0.0003238343730962843,,,,,
950,36014,BSU18120,BSU18120,False,1,1,0,target,BSU18120,alsT,A8O17_RS09370,0,alsT,0.0,0.0,0.0,0.0,0.0,0.0,-2.44250251945762,5,0.0,0.00033218425167750936,,,,,
951,36013,BSU28500,BSU28500,False,3,3,0,target,BSU28500,trxA,A8O17_RS13610,0,trxA,0.0,0.0,4.54361052667056,2.093830346,0.0,0.0,0.0,1,0.0,0.00034884327111364574,,,,,
952,36012,BSU01990,BSU01990,False,1,1,0,target,BSU01990,ybdG,A8O17_RS01165,0,None,0.0,0.0,0.0,0.0,0.0,0.9582665454986701,0.0,3,0.0,0.00032180955610196807,,,,,
